time,x,y,freq,type
2015/2/1,1025019,208927,1,G
2015/3/1,1019367,197890,1,G
2015/1/1,995744,165383,1,R
2015/1/1,1028185,192615,1,F
2015/1/1,993626,219051,1,G
2015/1/1,1007190,182916,1,G
2015/1/1,1003856,188545,1,G
2015/1/1,992677,231810,1,G
2015/1/1,998066,241515,1,G
2015/1/1,1055464,217139,1,G
2015/1/1,1002792,185840,1,G
2015/1/1,1003358,182945,2,G
2015/1/1,994019,188128,1,G
2015/1/1,1028517,243772,1,G
2015/3/1,1021994,213268,1,B
2015/1/1,1002824,249147,1,G
2015/2/1,990956,209114,1,G
2015/2/1,995035,216480,1,G
2015/2/1,999701,213295,1,G
2015/2/1,1012975,247755,1,G
2015/2/1,1011760,214763,1,G
2015/2/1,1006397,214828,1,G
2015/2/1,989780,218177,1,G
2015/2/1,982826,205060,1,G
2015/2/1,1001091,240445,1,G
2015/1/1,1024168,212010,1,F
2015/2/1,985054,211504,1,G
2015/2/1,986061,213320,1,G
2015/2/1,983026,209711,1,G
2015/2/1,989176,204451,1,G
2015/2/1,1017978,262492,1,G
2015/2/1,986509,153677,1,G
2015/2/1,995804,200604,1,G
2015/2/1,1009595,258311,1,G
2015/2/1,988018,214637,2,G
2015/2/1,989180,220914,1,G
2015/3/1,1006736,214392,1,B
2015/2/1,1014468,238156,1,G
2015/2/1,986816,192496,1,G
2015/2/1,983125,199091,1,G
2015/2/1,986812,206998,1,G
2015/2/1,1000973,194113,1,G
2015/2/1,1008114,244866,3,G
2015/2/1,1011698,251174,1,G
2015/2/1,996224,198956,3,G
2015/2/1,1041907,198407,1,G
2015/2/1,1043757,198854,1,G
2015/3/1,1004883,216337,1,B
2015/2/1,1007839,246906,2,G
2015/2/1,993569,217891,1,G
2015/2/1,995898,192255,1,G
2015/2/1,1008495,183171,1,G
2015/2/1,1012109,236900,1,G
2015/2/1,1010546,253615,1,G
2015/2/1,1004322,238438,1,G
2015/2/1,986654,189004,1,G
2015/2/1,1020454,240711,1,G
2015/2/1,982816,213034,1,G
2015/3/1,1025643,191685,1,B
2015/1/1,1000632,193367,1,F
2015/1/1,990503,215519,1,F
2015/1/1,1001861,246956,1,F
2015/1/1,998210,216955,2,F
2015/1/1,1009691,257590,1,F
2015/1/1,987959,217674,1,F
2015/1/1,998506,240391,1,F
2015/1/1,999702,244380,1,F
2015/1/1,1002773,247672,1,F
2015/1/1,998022,231890,1,F
2015/3/1,1043176,218333,1,B
2015/1/1,983607,200301,1,F
2015/1/1,989456,217590,1,F
2015/1/1,998312,236106,1,F
2015/1/1,993294,230085,1,F
2015/1/1,1002273,247951,1,F
2015/1/1,1013534,216324,1,F
2015/1/1,1035310,194572,1,F
2015/1/1,1052086,200049,1,F
2015/2/1,1028925,191759,1,F
2015/1/1,1047439,156663,1,F
2015/3/1,1039267,156474,1,B
2015/1/1,1055868,156522,2,F
2015/2/1,1038695,191322,1,F
2015/1/1,1016395,214622,1,F
2015/1/1,1018467,210567,1,F
2015/1/1,1003885,215209,1,F
2015/2/1,1027393,192585,2,F
2015/1/1,1043145,153970,1,F
2015/2/1,963354,173204,1,F
2015/1/1,961846,165609,1,F
2015/2/1,1015743,247473,1,F
2015/3/1,1022792,187045,1,B
2015/2/1,1015632,236902,1,F
2015/2/1,1012027,251905,1,F
2015/2/1,1028205,247400,2,F
2015/2/1,1029802,259520,1,F
2015/2/1,1011751,250275,2,F
2015/2/1,1007933,241724,1,F
2015/2/1,1014134,248513,1,F
2015/2/1,1012119,252873,1,F
2015/2/1,1020763,252001,1,F
2015/2/1,1016927,255381,1,F
2015/3/1,1028434,184325,1,B
2015/2/1,1030226,250326,1,F
2015/2/1,1014289,256206,1,F
2015/2/1,1006134,236912,1,F
2015/2/1,1018197,257898,1,F
2015/2/1,1030494,258416,2,F
2015/2/1,1006689,240122,2,F
2015/2/1,1004868,234794,1,F
2015/2/1,1007438,251414,1,F
2015/2/1,1008181,241961,1,F
2015/2/1,1026427,236931,1,F
2015/1/1,985969,158583,1,R
2015/3/1,1036549,208851,1,B
2015/2/1,1003989,244111,1,F
2015/2/1,1003666,184556,1,F
2015/2/1,1006421,192976,1,F
2015/2/1,987309,190698,2,F
2015/2/1,996350,182301,1,F
2015/2/1,1004557,183513,2,F
2015/2/1,1007800,181210,1,F
2015/2/1,1007058,182890,1,F
2015/2/1,997453,181126,1,F
2015/2/1,978440,174981,1,F
2015/3/1,1005720,209130,1,B
2015/2/1,1003025,188556,1,F
2015/2/1,1010258,185171,1,F
2015/2/1,995805,153724,1,F
2015/2/1,985555,156372,1,F
2015/2/1,984111,158137,4,F
